,id,followers,genres,name,popularity
143252,0TnOYISbd1XYRBk9myaseg,8359480.0,"['dance pop', 'latin', 'miami hip hop', 'pop', 'pop rap']",Pitbull,86
126410,28gNT5KBp7IjEOQoevXf9N,8342103.0,"['colombian pop', 'reggaeton colombiano']",Camilo,90
145066,51Blml2LZPmy7TTiAg47vQ,8157894.0,"['irish rock', 'permanent wave', 'rock']",U2,82
145043,0jnsk9HBra6NMjO2oANoPY,8032745.0,"['dance pop', 'miami hip hop', 'pop', 'pop rap']",Flo Rida,83
917780,4IWBUUAFIplrNtaOHcJPRM,7893527.0,"['pop', 'post-teen pop', 'talent show', 'uk pop']",James Arthur,86
144146,77ziqFxp5gaInVrF2lj4ht,7865082.0,"['latin', 'panamanian pop', 'reggaeton', 'trap latino']",Sech,89
143023,5he5w2lnU9x7JFhnwcekXX,7789284.0,"['brostep', 'complextro', 'edm', 'electro', 'pop dance']",Skrillex,80
145093,73sIBHcqh3Z3NyqHKZ7FOL,7716080.0,"['atl hip hop', 'hip hop', 'pop rap', 'rap']",Childish Gambino,81
146039,3cjEqqelV9zb4BYE3qDQ4O,7657868.0,"['k-pop', 'k-pop boy group']",EXO,76
144514,4tZwfgrHOc3mvqYlEYSvVi,7650304.0,"['electro', 'filter house']",Daft Punk,86
105778,3wyVrVrFCkukjdVIdirGVY,7632399.0,"['emo rap', 'miami hip hop', 'rap', 'trap']",Lil Pump,74
147752,0eecdvMrqBftK0M1VKhaF4,7586425.0,"['boy band', 'latin', 'latin pop', 'reggaeton']",CNCO,79
145124,3BmGtnKgCSGYIUhmivXKWX,7566980.0,"['dance pop', 'neo mellow', 'pop', 'pop rock', 'post-teen pop', 'talent show', 'urban contemporary']",Kelly Clarkson,78
144515,2h93pZq0e7k5yf4dywlkpM,7566623.0,"['alternative r&b', 'hip hop', 'lgbtq+ hip hop', 'neo soul', 'pop']",Frank Ocean,86
145181,5pUo3fmmHT8bhCyHE52hA6,7551725.0,"['dance pop', 'pop', 'post-teen pop']",Liam Payne,75
89127,4GNC7GD6oZMSxPGyXy4MNB,7544862.0,"['pop', 'uk pop']",Lewis Capaldi,86
146892,07PdYoE4jVRF6Ut40GgVSP,7541026.0,"['latin hip hop', 'mexican hip hop']",Cartel De Santa,80
144682,1mXAhKnZEdF6rotyyd4GBi,7519971.0,"['funk carioca', 'funk ostentacao', 'funk pop']",MC Kevinho,72
123642,1zNqDE7qDGCsyzJwohVaoX,7519267.0,"['dance pop', 'pop', 'pop dance', 'post-teen pop', 'tropical house', 'uk pop']",Anne-Marie,83
146863,163tK9Wjr9P9DmM0AVK7lm,7474152.0,"['art pop', 'dance pop', 'electropop', 'metropopolis', 'nz pop', 'pop', 'post-teen pop']",Lorde,80
126467,5Rl15oVamLq7FbSb0NNBNy,7374968.0,"['boy band', 'dance pop', 'electropop', 'pop', 'post-teen pop']",5 Seconds of Summer,84
112252,23fqKkggKUBHNkbKtXEls4,7362032.0,"['edm', 'pop', 'pop dance', 'tropical house']",Kygo,86
144532,540vIaP2JwjQb9dm3aArA4,7310355.0,"['dance pop', 'edm', 'electronic trap', 'pop', 'pop dance']",DJ Snake,83
168370,0tmwSHipWxN12fsoLcFU3B,7259276.0,"['colombian pop', 'latin', 'latin pop', 'reggaeton', 'reggaeton colombiano', 'trap latino', 'tropical']",Manuel Turizo,85
146019,4Rxn7Im3LGfyRkY2FlHhWi,7257141.0,"['dance pop', 'pop', 'post-teen pop', 'viral pop']",Nick Jonas,76
142840,0oOet2f43PA68X5RxKobEy,7233758.0,"['desi pop', 'filmi', 'modern bollywood', 'sufi']",Shreya Ghoshal,77
146858,5eAWCfyUhZtHHtBdNk56l1,7115995.0,"['alternative metal', 'nu metal', 'rap metal']",System Of A Down,81
145056,1Hsdzj7Dlq2I7tHP7501T4,7110203.0,"['dance pop', 'pop', 'post-teen pop']",Niall Horan,82
142252,0p4nmQO2msCgU4IF37Wi3j,7105293.0,"['canadian pop', 'candy pop', 'dance pop', 'pop', 'post-teen pop']",Avril Lavigne,80
145047,6icQOAFXDZKsumw3YXyusw,7091897.0,"['atl hip hop', 'hip hop', 'melodic rap', 'rap', 'southern hip hop', 'trap', 'underground hip hop', 'viral rap']",Lil Yachty,82
147751,6Q192DXotxtaysaqNPy5yR,7078461.0,"['british soul', 'neo soul']",Amy Winehouse,79
143815,3q7HBObVc0L8jNeTe5Gofh,7036668.0,"['east coast hip hop', 'gangster rap', 'hip hop', 'pop rap', 'queens hip hop', 'rap']",50 Cent,85
147736,05fG473iIaoy82BF1aGhL8,7013125.0,"['alternative metal', 'double drumming', 'nu metal', 'rap metal']",Slipknot,80
142379,3PhoLpVuITZKcymswpck5b,6915079.0,"['glam rock', 'mellow gold', 'piano rock', 'soft rock']",Elton John,85
107322,46SHBwWsqBkxI7EeeBEQG7,6912157.0,"['florida rap', 'hip hop', 'melodic rap', 'miami hip hop', 'rap', 'southern hip hop', 'trap']",Kodak Black,83
146855,4bw2Am3p9ji3mYsXNXtQcd,6858910.0,"['colombian pop', 'latin', 'latin pop', 'reggaeton', 'reggaeton colombiano', 'trap latino']",Piso 21,81
145062,3AA28KZvwAUcZuOKwyblJQ,6813797.0,['alternative hip hop'],Gorillaz,82
144513,7hJcb9fa4alzcOq3EaNPoG,6805667.0,"['g funk', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'west coast rap']",Snoop Dogg,86
